time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
4372,295,1290240,3.8278483700000003,195.96,63,310,-4.270631754398346,1.004691243171692,0.9440358281135559,-0.0017893934879248264,0.004302097484469414,0.147041015625,6.766537e-05,0.0001,0.009257363681681454,0.015,,
,,1300000,,,,315,-4.271189064979553,1.0047430992126465,0.9322136640548706,2.16697140422184e-05,0.006926092319190502,0.149912109375,7.1975366e-05,0.0001,0.010950264813145623,0.015,3.214612,169.5
4442,295,1310720,2.88592087,147.81,64,,,,,,,,,,,,,
4504,295,1331200,4.0102437,199.94,65,320,-4.272530864477158,1.0052943229675293,0.9372003674507141,0.0002732665531220846,0.02853512577712536,0.1453515625,6.814206e-05,0.0001,0.009706676623318344,0.015,,
,,1350000,,,,325,-4.272171614170074,1.005341649055481,0.9459125995635986,-0.01931445998576237,-0.0085049569606781,0.189599609375,8.8367364e-05,0.0001,0.00936461893550586,0.015,4.666958,216.0
4573,295,1351680,3.939730370000001,196.22,66,,,,,,,,,,,,,
4638,295,1372160,3.1635805500000003,159.16,67,330,-4.2750238919258114,1.0062211751937866,0.9356669783592224,-0.0032467731187352912,0.016611268743872643,0.192529296875,8.368674e-05,0.0001,0.009697013476397842,0.015,,
4704,296,1392640,3.0619565300000007,152.01,68,335,-4.278237588405609,1.0072001218795776,0.9324201345443726,0.00804612714680843,0.010887415148317814,0.162587890625,7.5832264e-05,0.0001,0.009081493698759005,0.015,,
,,1400000,,,,340,-4.281790784597397,1.008823275566101,0.9366111755371094,0.013991681799234356,0.02340961992740631,0.1416796875,7.0153714e-05,0.0001,0.010342619146686048,0.015,3.3058983750000004,155.25
4791,294,1413120,3.05686825,152.75,69,,,,,,,,,,,,,
4881,293,1433600,3.08757841,154.48,70,345,-4.286101597547531,1.010307788848877,0.9308250546455383,0.00532338443066692,0.005791637115180492,0.167236328125,8.028785e-05,0.0001,0.010288415491813793,0.015,,
,,1450000,,,,350,-4.2881700229644775,1.010587215423584,0.9245278835296631,-0.0017365097705624066,0.013860504142940044,0.19791015625,8.9025736e-05,0.0001,0.010411531021818519,0.015,3.042026125,152.625
4965,292,1454080,3.0876205100000003,158.1,71,,,,,,,,,,,,,
5032,293,1474560,3.15688585,158.57,72,355,-4.290565708875656,1.0116292238235474,0.9289649128913879,0.005923323500464903,0.028254684060811996,0.159853515625,7.498196e-05,0.0001,0.010259235363919287,0.015,,
5106,292,1495040,3.2007929,158.29,73,360,-4.293424367904663,1.0123200416564941,0.9316341876983643,0.0002557749584229896,0.02206709235906601,0.189521484375,9.124597e-05,0.0001,0.00891784933512099,0.015,,
,,1500000,,,,365,-4.2932898914813995,1.0122073888778687,0.9360438585281372,-0.00377829752425896,0.004210794344544411,0.16296875,7.832261e-05,0.0001,0.008957427983405068,0.015,2.9122651250000002,137.5
5191,291,1515520,3.1770682500000005,155.33,74,,,,,,,,,,,,,
5273,291,1536000,3.22221019,156.49,75,370,-4.291864675283432,1.0116060972213745,0.9267184734344482,-0.009576995089300908,0.0011387523263692856,0.182900390625,8.743821e-05,0.0001,0.00962139415438287,0.015,,
,,1550000,,,,375,-4.291735931634903,1.0117582082748413,0.9315858483314514,-0.0033986680948873984,0.006696018856018782,0.154697265625,7.802283e-05,0.0001,0.008818970465799793,0.015,3.62831375,183.625
5370,289,1556480,3.0554905999999993,155.85,76,,,,,,,,,,,,,
5447,289,1576960,3.18985937,155.12,77,380,-4.293569798469544,1.0123480558395386,0.9249197244644165,-0.004319045983720571,0.006766040809452534,0.164931640625,7.891153e-05,0.0001,0.009808000111952424,0.015,,
5521,289,1597440,3.100785450000001,151.57,78,385,-4.293930325508118,1.012609601020813,0.9360200762748718,-0.005446921586844837,-0.000554901547729969,0.1509375,7.441726e-05,0.0001,0.008202805515611544,0.015,,
,,1600000,,,,390,-4.295771064758301,1.0129483938217163,0.9399052858352661,-0.0034196759073529394,0.008088652044534683,0.150390625,6.9895e-05,0.0001,0.008708361331373453,0.015,3.5559512500000006,157.875
5608,288,1617920,3.0973222600000003,157.54,79,,,,,,,,,,,,,
