time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
12367,2048000,7.155347710000001,273.34,100,165,0.41392578125,-4.508338136672974,1.0884758234024048,0.00034804497,0.0001,0.0005628013701061718,0.9990001916885376,-0.007707953453063965,495,-0.002948337298621482,0.015,,
,2050000,,,,,0.437314453125,-4.513303439617157,1.090043544769287,0.000401786,0.0001,0.00046382748834730594,0.9990648031234741,-0.0060056098736822605,500,-0.0015914177252489025,0.015,310.0,7.920904
12450,2068480,7.13350445,272.35,101,166,,,,,,,,,,,,,
12529,2088960,7.132903070000001,272.33,102,166,0.4284765625,-4.515424984693527,1.0909161567687988,0.00036628818,0.0001,0.0005460609777219361,0.9989659190177917,-0.00405988609418273,505,-0.00171976460103906,0.015,,
,2100000,,,,,0.428916015625,-4.5197148871421815,1.0923166275024414,0.00044050097,0.0001,0.000516049255602411,0.9990159869194031,-0.003735016565769911,510,-0.0008747375824805204,0.015,312.0,7.955713
12611,2109440,7.1437230099999995,272.79,103,167,,,,,,,,,,,,,
12689,2129920,7.1076235599999995,271.04,104,167,0.4188671875,-4.52332612991333,1.0940265655517578,0.00036256955,0.0001,0.00048327033211535307,0.9990900754928589,-0.0016811448149383068,515,-0.0005383624236128526,0.015,,
,2150000,,,,,0.426044921875,-4.5262131524086,1.095070242881775,0.00041254685,0.0001,0.0005039503667649115,0.9990461468696594,-0.004255050793290138,520,-0.0022802015433444466,0.015,312.0,7.961732
12771,2150400,7.103608790000002,270.85,105,168,,,,,,,,,,,,,
12848,2170880,7.06550481,268.95,106,168,0.4237890625,-4.529715468883515,1.0960912704467773,0.0003905474,0.0001,0.0005029651093354915,0.9990580677986145,-0.0060901762917637825,525,-0.002790759217386949,0.015,,
12927,2191360,7.05504793,268.38,107,169,0.43369140625,-4.53394239783287,1.0977346897125244,0.00037949183,0.0001,0.00047331508139905056,0.9990832805633545,-0.0005060576368123293,530,0.00236817384367896,0.015,,
,2200000,,,,,0.42583984375,-4.539497388601303,1.1001240015029907,0.00039338,0.0001,0.0004934669892099918,0.9990975260734558,-0.001006044796667993,535,0.0013471456836850848,0.015,310.0,7.91213
13009,2211840,7.054223029999998,268.3,108,170,,,,,,,,,,,,,
13087,2232320,7.02248723,266.77,109,170,0.415712890625,-4.542418682575226,1.100418210029602,0.00036309208,0.0001,0.00046602643684309444,0.9991137385368347,-0.004937571007758379,540,-0.0029145613934088033,0.015,,
,2250000,,,,,0.422919921875,-4.542895582914352,1.101378321647644,0.00040464583,0.0001,0.0004929799603269203,0.9991101622581482,-0.005795309320092201,545,-0.0029113100701943038,0.015,311.0,7.933878
13169,2252800,6.98268554,264.82,110,171,,,,,,,,,,,,,
13248,2273280,6.930007430000002,262.09,111,171,0.4260546875,-4.546628499031067,1.102739930152893,0.0003811067,0.0001,0.0005537304472090909,0.9989940524101257,-0.0048514301888644695,550,-0.0010740181308574392,0.015,,
13325,2293760,6.9661829299999996,263.93,112,172,0.429658203125,-4.548581597805023,1.1033819913864136,0.00048857514,0.0001,0.00047988964230171404,0.9991726875305176,-0.009160863235592842,555,-0.0035796156898868503,0.015,,
,2300000,,,,,0.424169921875,-4.552761676311493,1.1053663492202759,0.00039220182,0.0001,0.0004966477196285268,0.9991686940193176,-0.005828005261719227,560,-0.001552041351351363,0.015,320.0,8.109886
13407,2314240,6.974783530000002,264.34,113,172,,,,,,,,,,,,,
13485,2334720,6.95358038,263.35,114,173,0.4421875,-4.556397389173508,1.1064348220825195,0.00041955462,0.0001,0.0005101767302403459,0.9990444183349609,-0.007041757460683584,565,-0.002773700219077,0.015,,
,2350000,,,,,0.434638671875,-4.560527358055115,1.1081088781356812,0.00047084494,0.0001,0.0005039774561009835,0.9991156458854675,-0.005957318469882011,570,-0.0012637929624906973,0.015,314.0,7.994321
13567,2355200,6.87132185,259.18,115,173,,,,,,,,,,,,,
13644,2375680,6.879881529999999,259.57,116,174,0.43857421875,-4.5641648077964785,1.1096991300582886,0.00051998836,0.0001,0.0004769556885730708,0.9991230964660645,-0.005213977303355932,575,-0.0012153906559069583,0.015,,
